Indnum,Group,Activity,Units,Consumption,Quality_of_Life_Importance__1_10,Name of Resource Used,Amount of Resource Used per Unit
756,2,shower - short,count,8.0,88.0,electric_water_heater___peak_hou,1.0
756,2,wash-up,count,50.0,34.0,electric_water_heater___peak_hou,1.0
757,2,shower - short,count,2.0,88.0,electric_water_heater___peak_hou,1.0
758,2,shower - long (> 3 min),count,27.0,74.0,electric_water_heater___peak_hou,1.0
759,1,Household heating < 70F,hours,4.0,77.0,electric_water_heater___peak_hou,1.0
765,2,wash-up,count,49.0,31.0,electric_water_heater___peak_hou,1.0
766,1,Household heating < 70F,count,7.0,88.0,electric_water_heater___peak_hou,1.0
768,1,Use of air conditioner,count,14.0,57.0,electric_water_heater___peak_hou,1.0
768,3,use of self-clean feature of electric oven,count,1.0,12.0,electric_water_heater___peak_hou,1.0
769,2,shower - long (> 3 min),count,20.0,72.0,electric_water_heater___peak_hou,1.0
771,2,shower - short,count,4.0,92.0,electric_water_heater___peak_hou,1.0
773,1,Household heating < 70F,hours,4.0,69.0,electric_water_heater___peak_hou,1.0
773,3,use of clothes dryer,count,2.0,12.0,electric_water_heater___peak_hou,1.0
775,1,Use of air conditioner,hours,25.0,43.0,electric_water_heater___peak_hou,1.0
777,1,Household heating => 70F,hours,8.0,77.0,electric_water_heater___peak_hou,1.0
777,2,shower - short,count,2.0,95.0,electric_water_heater___peak_hou,1.0
778,1,Household heating => 70F,count,8.0,87.0,electric_water_heater___peak_hou,1.0
780,2,wash-up,count,48.0,34.0,electric_water_heater___peak_hou,1.0
781,3,use of clothes dryer,count,4.0,12.0,electric_water_heater___peak_hou,1.0
782,1,Household heating < 70F,count,1.0,81.0,electric_water_heater___peak_hou,1.0
782,3,use of  oven,count,12.0,37.0,electric_water_heater___peak_hou,1.0
784,1,Household heating => 70F,count,6.0,88.0,electric_water_heater___peak_hou,1.0
785,1,Use of air conditioner,hours,22.0,42.0,electric_water_heater___peak_hou,1.0
787,1,Use of air conditioner,hours,28.0,49.0,electric_water_heater___peak_hou,1.0
792,1,Use of air conditioner,count,14.0,54.0,electric_water_heater___peak_hou,1.0
792,2,shower - short,count,4.0,93.0,electric_water_heater___peak_hou,1.0
794,1,Use of air conditioner,count,12.0,44.0,electric_water_heater___peak_hou,1.0
797,1,Household heating < 70F,hours,1.0,73.0,electric_water_heater___peak_hou,1.0
798,1,Household heating => 70F,count,2.0,86.0,electric_water_heater___peak_hou,1.0
800,1,Use of air conditioner,count,31.0,50.0,electric_water_heater___peak_hou,1.0
800,2,shower - long (> 3 min),count,32.0,85.0,electric_water_heater___peak_hou,1.0
800,2,wash-up,count,52.0,30.0,electric_water_heater___peak_hou,1.0
801,2,shower - short,count,8.0,97.0,electric_water_heater___peak_hou,1.0
803,1,Household heating < 70F,hours,6.0,85.0,electric_water_heater___peak_hou,1.0
805,2,shower - short,count,3.0,98.0,electric_water_heater___peak_hou,1.0
805,2,wash-up,count,40.0,24.0,electric_water_heater___peak_hou,1.0
805,3,use of  oven,count,10.0,33.0,electric_water_heater___peak_hou,1.0
806,3,use of clothes washer,count,3.0,39.0,electric_water_heater___peak_hou,1.0
809,2,wash-up,count,35.0,26.0,electric_water_heater___peak_hou,1.0
809,3,use of clothes washer,count,3.0,32.0,electric_water_heater___peak_hou,1.0
811,3,use of self-clean feature of electric oven,count,2.0,17.0,electric_water_heater___peak_hou,1.0
814,1,Household heating => 70F,count,7.0,68.0,electric_water_heater___peak_hou,1.0
814,2,wash-up,count,53.0,36.0,electric_water_heater___peak_hou,1.0
814,3,use of self-clean feature of electric oven,count,2.0,15.0,electric_water_heater___peak_hou,1.0
818,1,Household heating => 70F,count,6.0,66.0,electric_water_heater___peak_hou,1.0
820,2,shower - long (> 3 min),count,32.0,85.0,electric_water_heater___peak_hou,1.0
822,1,Household heating => 70F,count,10.0,75.0,electric_water_heater___peak_hou,1.0
822,2,shower - long (> 3 min),count,12.0,82.0,electric_water_heater___peak_hou,1.0
822,2,wash-up,count,50.0,43.0,electric_water_heater___peak_hou,1.0
824,2,shower - short,count,8.0,91.0,electric_water_heater___peak_hou,1.0
824,3,use of self-clean feature of electric oven,count,1.0,13.0,electric_water_heater___peak_hou,1.0
825,2,wash-up,count,33.0,43.0,electric_water_heater___peak_hou,1.0
827,1,Household heating < 70F,hours,5.0,89.0,electric_water_heater___peak_hou,1.0
827,2,shower - short,count,6.0,89.0,electric_water_heater___peak_hou,1.0
827,2,shower - long (> 3 min),count,13.0,83.0,electric_water_heater___peak_hou,1.0
828,3,use of  oven,count,12.0,35.0,electric_water_heater___peak_hou,1.0
831,1,Household heating => 70F,hours,3.0,60.0,electric_water_heater___peak_hou,1.0
831,2,shower - short,count,4.0,83.0,electric_water_heater___peak_hou,1.0
835,1,Household heating < 70F,hours,7.0,91.0,electric_water_heater___peak_hou,1.0
836,1,Household heating => 70F,count,8.0,93.0,electric_water_heater___peak_hou,1.0
836,2,wash-up,count,41.0,42.0,electric_water_heater___peak_hou,1.0
837,1,Household heating < 70F,hours,7.0,76.0,electric_water_heater___peak_hou,1.0
837,4,TV/computer use,count,59.0,24.0,electric_water_heater___peak_hou,1.0
839,1,Use of air conditioner,hours,12.0,53.0,electric_water_heater___peak_hou,1.0
841,1,Household heating < 70F,hours,10.0,71.0,electric_water_heater___peak_hou,1.0
842,1,Household heating < 70F,count,4.0,70.0,electric_water_heater___peak_hou,1.0
843,3,use of self-clean feature of electric oven,count,2.0,16.0,electric_water_heater___peak_hou,1.0
844,1,Household heating => 70F,count,6.0,66.0,electric_water_heater___peak_hou,1.0
844,2,shower - short,count,7.0,83.0,electric_water_heater___peak_hou,1.0
844,2,wash-up,count,46.0,29.0,electric_water_heater___peak_hou,1.0
845,3,use of clothes dryer,count,4.0,19.0,electric_water_heater___peak_hou,1.0
846,1,Household heating => 70F,count,5.0,90.0,electric_water_heater___peak_hou,1.0
846,4,TV/computer use,count,61.0,25.0,electric_water_heater___peak_hou,1.0
848,2,shower - short,count,3.0,92.0,electric_water_heater___peak_hou,1.0
849,1,Use of air conditioner,hours,32.0,44.0,electric_water_heater___peak_hou,1.0
853,1,Household heating => 70F,hours,9.0,80.0,electric_water_heater___peak_hou,1.0
858,1,Household heating => 70F,count,2.0,88.0,electric_water_heater___peak_hou,1.0
861,1,Household heating => 70F,hours,6.0,61.0,electric_water_heater___peak_hou,1.0
863,1,Household heating < 70F,hours,4.0,90.0,electric_water_heater___peak_hou,1.0
863,3,use of clothes dryer,count,1.0,16.0,electric_water_heater___peak_hou,1.0
864,1,Household heating => 70F,count,5.0,86.0,electric_water_heater___peak_hou,1.0
866,1,Household heating => 70F,count,7.0,70.0,electric_water_heater___peak_hou,1.0
866,3,use of self-clean feature of electric oven,count,3.0,11.0,electric_water_heater___peak_hou,1.0
867,1,Household heating => 70F,hours,6.0,86.0,electric_water_heater___peak_hou,1.0
867,2,shower - short,count,6.0,89.0,electric_water_heater___peak_hou,1.0
868,2,shower - short,count,8.0,84.0,electric_water_heater___peak_hou,1.0
871,2,shower - short,count,4.0,90.0,electric_water_heater___peak_hou,1.0
874,3,use of clothes washer,count,3.0,27.0,electric_water_heater___peak_hou,1.0
875,1,Household heating => 70F,hours,10.0,79.0,electric_water_heater___peak_hou,1.0
876,2,shower - short,count,6.0,88.0,electric_water_heater___peak_hou,1.0
877,1,Use of air conditioner,hours,12.0,58.0,electric_water_heater___peak_hou,1.0
878,1,Household heating => 70F,count,7.0,79.0,electric_water_heater___peak_hou,1.0
879,1,Use of air conditioner,hours,12.0,55.0,electric_water_heater___peak_hou,1.0
882,2,shower - long (> 3 min),count,12.0,74.0,electric_water_heater___peak_hou,1.0
883,1,Household heating => 70F,hours,10.0,78.0,electric_water_heater___peak_hou,1.0
883,2,shower - short,count,8.0,82.0,electric_water_heater___peak_hou,1.0
884,1,Household heating < 70F,count,7.0,77.0,electric_water_heater___peak_hou,1.0
885,1,Use of air conditioner,hours,26.0,50.0,electric_water_heater___peak_hou,1.0
885,4,TV/computer use,count,63.0,30.0,electric_water_heater___peak_hou,1.0
886,1,Household heating => 70F,count,10.0,69.0,electric_water_heater___peak_hou,1.0
887,2,shower - short,count,3.0,96.0,electric_water_heater___peak_hou,1.0
890,3,use of clothes washer,count,2.0,47.0,electric_water_heater___peak_hou,1.0
891,2,shower - short,count,6.0,92.0,electric_water_heater___peak_hou,1.0
892,1,Household heating => 70F,count,2.0,77.0,electric_water_heater___peak_hou,1.0
893,3,use of  oven,count,11.0,31.0,electric_water_heater___peak_hou,1.0
896,1,Use of air conditioner,count,22.0,42.0,electric_water_heater___peak_hou,1.0
897,1,Household heating => 70F,hours,10.0,85.0,electric_water_heater___peak_hou,1.0
897,2,shower - long (> 3 min),count,14.0,92.0,electric_water_heater___peak_hou,1.0
899,2,shower - short,count,3.0,90.0,electric_water_heater___peak_hou,1.0
900,1,Use of air conditioner,count,17.0,55.0,electric_water_heater___peak_hou,1.0
902,1,Household heating => 70F,count,3.0,73.0,electric_water_heater___peak_hou,1.0
904,3,use of clothes dryer,count,1.0,14.0,electric_water_heater___peak_hou,1.0
904,3,use of self-clean feature of electric oven,count,2.0,21.0,electric_water_heater___peak_hou,1.0
905,2,wash-up,count,36.0,38.0,electric_water_heater___peak_hou,1.0
906,1,Household heating => 70F,count,7.0,65.0,electric_water_heater___peak_hou,1.0
907,2,shower - short,count,5.0,97.0,electric_water_heater___peak_hou,1.0
908,2,shower - short,count,7.0,88.0,electric_water_heater___peak_hou,1.0
909,3,use of self-clean feature of electric oven,count,2.0,19.0,electric_water_heater___peak_hou,1.0
910,1,Household heating => 70F,count,7.0,83.0,electric_water_heater___peak_hou,1.0
911,1,Household heating < 70F,hours,9.0,66.0,electric_water_heater___peak_hou,1.0
911,2,wash-up,count,38.0,27.0,electric_water_heater___peak_hou,1.0
912,2,wash-up,count,49.0,43.0,electric_water_heater___peak_hou,1.0
913,1,Household heating => 70F,hours,4.0,75.0,electric_water_heater___peak_hou,1.0
915,2,shower - long (> 3 min),count,34.0,89.0,electric_water_heater___peak_hou,1.0
917,1,Household heating => 70F,hours,7.0,66.0,electric_water_heater___peak_hou,1.0
918,1,Household heating => 70F,count,3.0,62.0,electric_water_heater___peak_hou,1.0
918,4,TV/computer use,count,60.0,28.0,electric_water_heater___peak_hou,1.0
919,1,Household heating < 70F,hours,3.0,64.0,electric_water_heater___peak_hou,1.0
925,1,Household heating => 70F,hours,4.0,87.0,electric_water_heater___peak_hou,1.0
926,2,shower - short,count,3.0,89.0,electric_water_heater___peak_hou,1.0
928,1,Household heating < 70F,count,4.0,93.0,electric_water_heater___peak_hou,1.0
928,2,shower - short,count,6.0,94.0,electric_water_heater___peak_hou,1.0
929,1,Household heating => 70F,hours,9.0,91.0,electric_water_heater___peak_hou,1.0
929,2,shower - short,count,4.0,94.0,electric_water_heater___peak_hou,1.0
930,1,Household heating < 70F,count,5.0,68.0,electric_water_heater___peak_hou,1.0
932,1,Household heating => 70F,count,9.0,71.0,electric_water_heater___peak_hou,1.0
932,2,shower - long (> 3 min),count,21.0,88.0,electric_water_heater___peak_hou,1.0
934,2,shower - short,count,8.0,94.0,electric_water_heater___peak_hou,1.0
935,1,Household heating => 70F,hours,3.0,62.0,electric_water_heater___peak_hou,1.0
935,2,shower - short,count,8.0,82.0,electric_water_heater___peak_hou,1.0
936,1,Use of air conditioner,count,14.0,54.0,electric_water_heater___peak_hou,1.0
936,3,use of  oven,count,12.0,31.0,electric_water_heater___peak_hou,1.0
937,1,Use of air conditioner,hours,29.0,39.0,electric_water_heater___peak_hou,1.0
937,2,wash-up,count,51.0,31.0,electric_water_heater___peak_hou,1.0
941,1,Use of air conditioner,hours,29.0,57.0,electric_water_heater___peak_hou,1.0
945,1,Household heating < 70F,hours,3.0,87.0,electric_water_heater___peak_hou,1.0
949,2,shower - long (> 3 min),count,32.0,90.0,electric_water_heater___peak_hou,1.0
950,2,shower - short,count,6.0,88.0,electric_water_heater___peak_hou,1.0
952,1,Use of air conditioner,count,24.0,58.0,electric_water_heater___peak_hou,1.0
954,2,shower - short,count,7.0,96.0,electric_water_heater___peak_hou,1.0
954,2,shower - long (> 3 min),count,20.0,86.0,electric_water_heater___peak_hou,1.0
955,1,Use of air conditioner,hours,12.0,51.0,electric_water_heater___peak_hou,1.0
955,3,use of clothes dryer,count,1.0,14.0,electric_water_heater___peak_hou,1.0
958,1,Use of air conditioner,count,16.0,44.0,electric_water_heater___peak_hou,1.0
959,1,Household heating < 70F,hours,4.0,64.0,electric_water_heater___peak_hou,1.0
960,2,shower - long (> 3 min),count,39.0,91.0,electric_water_heater___peak_hou,1.0
961,3,use of clothes washer,count,5.0,44.0,electric_water_heater___peak_hou,1.0
962,2,shower - short,count,3.0,83.0,electric_water_heater___peak_hou,1.0
964,3,use of clothes dryer,count,1.0,15.0,electric_water_heater___peak_hou,1.0
966,2,wash-up,count,43.0,42.0,electric_water_heater___peak_hou,1.0
967,3,use of  oven,count,9.0,32.0,electric_water_heater___peak_hou,1.0
969,2,wash-up,count,52.0,36.0,electric_water_heater___peak_hou,1.0
970,1,Household heating => 70F,count,5.0,91.0,electric_water_heater___peak_hou,1.0
970,1,Household heating < 70F,count,4.0,72.0,electric_water_heater___peak_hou,1.0
971,2,shower - long (> 3 min),count,22.0,76.0,electric_water_heater___peak_hou,1.0
975,1,Household heating => 70F,hours,5.0,71.0,electric_water_heater___peak_hou,1.0
977,2,shower - short,count,4.0,91.0,electric_water_heater___peak_hou,1.0
979,2,shower - long (> 3 min),count,25.0,84.0,electric_water_heater___peak_hou,1.0
980,1,Household heating => 70F,count,2.0,91.0,electric_water_heater___peak_hou,1.0
985,1,Use of air conditioner,hours,24.0,46.0,electric_water_heater___peak_hou,1.0
986,1,Use of air conditioner,count,26.0,43.0,electric_water_heater___peak_hou,1.0
987,3,use of clothes washer,count,5.0,28.0,electric_water_heater___peak_hou,1.0
988,3,use of  oven,count,9.0,37.0,electric_water_heater___peak_hou,1.0
992,2,shower - long (> 3 min),count,16.0,80.0,electric_water_heater___peak_hou,1.0
994,2,shower - short,count,7.0,84.0,electric_water_heater___peak_hou,1.0
995,1,Household heating < 70F,hours,6.0,69.0,electric_water_heater___peak_hou,1.0
995,2,shower - short,count,7.0,85.0,electric_water_heater___peak_hou,1.0
995,3,use of clothes washer,count,7.0,43.0,electric_water_heater___peak_hou,1.0
995,3,use of clothes dryer,count,1.0,18.0,electric_water_heater___peak_hou,1.0
996,1,Household heating => 70F,count,7.0,82.0,electric_water_heater___peak_hou,1.0
997,1,Household heating => 70F,hours,3.0,83.0,electric_water_heater___peak_hou,1.0
999,1,Household heating < 70F,hours,8.0,89.0,electric_water_heater___peak_hou,1.0
1001,3,use of clothes washer,count,3.0,30.0,electric_water_heater___peak_hou,1.0
1002,1,Household heating => 70F,count,1.0,82.0,electric_water_heater___peak_hou,1.0
2,3,use of clothes dryer,count,4.0,13.0,electric_water_heater___off_peak,1.0
3,3,use of  oven,count,10.0,37.0,electric_water_heater___off_peak,1.0
4,3,use of  oven,count,11.0,33.0,electric_water_heater___off_peak,1.0
6,1,Household heating => 70F,count,6.0,63.0,electric_water_heater___off_peak,1.0
8,4,TV/computer use,count,60.0,28.0,electric_water_heater___off_peak,1.0
9,1,Household heating < 70F,hours,6.0,89.0,electric_water_heater___off_peak,1.0
9,1,Use of air conditioner,hours,20.0,50.0,electric_water_heater___off_peak,1.0
10,2,shower - long (> 3 min),count,19.0,90.0,electric_water_heater___off_peak,1.0
11,1,Household heating < 70F,hours,6.0,85.0,electric_water_heater___off_peak,1.0
11,2,shower - long (> 3 min),count,37.0,77.0,electric_water_heater___off_peak,1.0
14,1,Use of air conditioner,count,22.0,39.0,electric_water_heater___off_peak,1.0
15,2,wash-up,count,53.0,25.0,electric_water_heater___off_peak,1.0
17,2,shower - short,count,8.0,89.0,electric_water_heater___off_peak,1.0
17,3,use of clothes washer,count,6.0,31.0,electric_water_heater___off_peak,1.0
18,1,Household heating < 70F,count,9.0,76.0,electric_water_heater___off_peak,1.0
19,1,Use of air conditioner,hours,17.0,43.0,electric_water_heater___off_peak,1.0
19,4,TV/computer use,count,58.0,30.0,electric_water_heater___off_peak,1.0
22,1,Household heating < 70F,count,8.0,65.0,electric_water_heater___off_peak,1.0
22,1,Use of air conditioner,count,23.0,41.0,electric_water_heater___off_peak,1.0
24,2,shower - short,count,5.0,92.0,electric_water_heater___off_peak,1.0
26,3,use of clothes washer,count,7.0,32.0,electric_water_heater___off_peak,1.0
29,1,Household heating => 70F,hours,4.0,91.0,electric_water_heater___off_peak,1.0
30,1,Household heating => 70F,count,5.0,88.0,electric_water_heater___off_peak,1.0
34,2,shower - long (> 3 min),count,22.0,72.0,electric_water_heater___off_peak,1.0
35,1,Household heating < 70F,hours,6.0,65.0,electric_water_heater___off_peak,1.0
36,3,use of  oven,count,8.0,32.0,electric_water_heater___off_peak,1.0
37,2,shower - long (> 3 min),count,37.0,77.0,electric_water_heater___off_peak,1.0
39,1,Household heating < 70F,hours,8.0,60.0,electric_water_heater___off_peak,1.0
40,2,wash-up,count,54.0,33.0,electric_water_heater___off_peak,1.0
43,1,Household heating => 70F,hours,3.0,66.0,electric_water_heater___off_peak,1.0
45,1,Household heating < 70F,hours,4.0,72.0,electric_water_heater___off_peak,1.0
48,2,shower - short,count,4.0,92.0,electric_water_heater___off_peak,1.0
48,3,use of clothes dryer,count,1.0,21.0,electric_water_heater___off_peak,1.0
